CCTVID,AuthorityCode,LinkID,VideoStreamURL,LocationType,PositionLon,PositionLat,SurveillanceType,SurveillanceDescription,RoadID,RoadName,RoadClass,RoadDirection,UpdateTime
T000002,KEE,0000301101020C,https://CCTV.KLCG.GOV.TW:443/9cc4ca1c,1,121.71492,25.13972,2,基金一路 基金交流道下匝道,30,國道3號,0,N,2023/7/28 10:10
T000003,KEE,6101610500020C,https://CCTV.KLCG.GOV.TW:443/41b0eff2,1,121.76052,25.14195,2,中正路 祥豐街 豐稔路,610161C,祥豐街,6,SW,2023/7/28 10:10
T000005,KEE,3000240100052C,https://CCTV.KLCG.GOV.TW:443/e39b2843,1,121.73497,25.10476,2,源遠路 暖暖交流道,300024,台2丁線,3,W,2023/7/28 10:10
T000007,KEE,6100990200050C,https://CCTV.KLCG.GOV.TW:443/facd4662,1,121.76443,25.12823,2,東信路 崇法街,610099C,東明路,6,E,2023/7/28 10:10
T000008,KEE,6100030500060C,https://CCTV.KLCG.GOV.TW:443/fe38304c,1,121.71926,25.09992,2,明德一路 大華橋頭,610003C,八德路,6,SW,2023/7/28 10:10
T000009,KEE,6102030700010C,https://CCTV.KLCG.GOV.TW:443/ad17e061,1,121.73148,25.10888,2,八堵路 源遠路,610203C,源遠路,6,NW,2023/7/28 10:10
T000012,KEE,6100950500010C,https://CCTV.KLCG.GOV.TW:443/bf14f2af,1,121.71762,25.09941,2,明德一路 光明路 (往台北),610095C,明德一路,6,SW,2023/7/28 10:10
T000014,KEE,6100640300020C,https://CCTV.KLCG.GOV.TW:443/70cf7bac,1,121.73919,25.1283,2,孝二路 忠四路,610064C,成功二路,6,SE,2023/7/28 10:10
T000015,KEE,6100220100120C,https://CCTV.KLCG.GOV.TW:443/55c38316,1,121.74341,25.13135,1,中正路 信一路,610022C,中正路,6,NE,2023/7/28 10:10
T000016,KEE,6101000600010C,https://CCTV.KLCG.GOV.TW:443/6972615b,1,121.7602,25.1286,2,正信路 信一路,610100C,東信路,6,W,2023/7/28 10:10
T000018,KEE,6101610100000C,https://cctv.klcg.gov.tw/582d9c95,1,121.77225,25.15075,2,北寧路 祥豐路 (祥豐),610161C,祥豐街,6,NE,2023/7/28 10:10
T000019,KEE,6100220100000C,https://cctv.klcg.gov.tw/64253e5c,1,121.77206,25.15102,2,北寧路 祥豐街(中正),610022C,中正路,6,NE,2023/7/28 10:10
T000020,KEE,6100420700000C,https://cctv.klcg.gov.tw/d2fd095d,1,121.77245,25.15103,-1,中正路 祥豐街(北寧),610042C,北寧路,6,NW,2023/7/28 10:10
T000021,KEE,6100160100060C,https://CCTV.KLCG.GOV.TW:443/bf0ed2e8,1,121.73631,25.12935,4,中山一路 成功二路,610016C,中山一路,6,NE,2023/7/28 10:10
T000022,KEE,6100160500003C,https://CCTV.KLCG.GOV.TW:443/a1951422,1,121.73949,25.13424,4,中山一路 港西高架,610016C,中山一路,6,SW,2023/7/28 10:10
T000023,KEE,6102070500000C,https://CCTV.KLCG.GOV.TW:443/fe7f8d20,2,121.74808,25.13699,4,中正路 義一路,610207C,義一路,6,SW,2023/7/28 10:10
T000024,KEE,6101890100020C,https://CCTV.KLCG.GOV.TW:443/f29f13e0,1,121.74347,25.12955,2,仁二路 愛三路,610189C,愛三路,6,NE,2023/7/28 10:10
T000026,KEE,6100910700080C,https://CCTV.KLCG.GOV.TW:443/1c8ebc07,1,121.74098,25.13096,2,忠一路 孝二路,610091C,忠一路,6,NW,2023/7/28 10:10
T000027,KEE,6101410700000C,https://CCTV.KLCG.GOV.TW:443/a4fbca47,2,121.70344,25.14209,2,基金一路/二路1巷/台62匝道口,610141C,基金二路,6,NW,2023/7/28 10:10
T000030,KEE,6101420700040C,https://CCTV.KLCG.GOV.TW:443/79735f24,1,121.69994,25.14886,-1,大武崙工業區口 基金二路14號,610142C,基金三路,6,NW,2023/7/28 10:10
T000031,KEE,6101400200010C,https://CCTV.KLCG.GOV.TW:443/afc440ef,2,121.7134,25.1401,-1,基金一路 基金交流道,610140C,基金一路,6,E,2023/7/28 10:10
T000032,KEE,6101420700030C,https://CCTV.KLCG.GOV.TW:443/6613ea0b,2,121.6975,25.15214,-1,基金三路 基金三路56號,610142C,基金三路,6,NW,2023/7/28 10:10
T000033,KEE,6100170400000C,https://CCTV.KLCG.GOV.TW:443/f40905ec,1,121.73888,25.14474,2,中山二路 海三廠,610017C,中山二路,6,S,2023/7/28 10:10
T000034,KEE,6101040600000C,https://cctv.klcg.gov.tw/cce885d5,1,121.75274,25.13962,2,台62甲匝道 東海街,610104C,東海街,6,W,2023/7/28 10:10
T000036,KEE,6100970600000C,https://CCTV.KLCG.GOV.TW:443/d732959c,1,121.68381,25.08376,2,實踐路253巷 堵南街,610097C,明德三路,6,W,2023/7/28 10:10
T000037,KEE,6100160500006C,https://cctv.klcg.gov.tw/4e6b2984,1,121.73828,25.13235,2,中山一路 忠一路,610016C,中山一路,6,SW,2023/7/28 10:10
T000038,KEE,6101890500000C,https://cctv.klcg.gov.tw/48603956,1,121.74399,25.1305,2,仁一路 愛三路,610189C,愛三路,6,SW,2023/7/28 10:10
T000039,KEE,6100500300000C,https://CCTV.KLCG.GOV.TW:443/1098d034,1,121.77018,25.15191,1,中正路/正濱路(北),610050C,正濱路,6,SE,2023/7/28 10:10
T000040,KEE,6100220100010C,https://CCTV.KLCG.GOV.TW:443/8edd00b1,1,121.77015,25.1519,2,中正路/正濱路(西),610022C,中正路,6,NE,2023/7/28 10:10
T000041,KEE,6100220500000C,https://CCTV.KLCG.GOV.TW:443/779d5831,1,121.77018,25.15188,1,中正路/正濱路(東),610022C,中正路,6,SW,2023/7/28 10:10
T000042,KEE,6101700500000C,https://CCTV.KLCG.GOV.TW:443/01d5a434,1,121.74062,25.13473,-1,港西街 台鐵北站,610170C,港西街,6,SW,2023/7/28 10:10
T000043,KEE,6100160100003C,https://CCTV.KLCG.GOV.TW:443/a6897937,1,121.74092,25.13602,-1,中山一路 港西街,610016C,中山一路,6,NE,2023/7/28 10:10
T000044,KEE,6100280200040C,https://CCTV.KLCG.GOV.TW:443/05c7e2d9,1,121.74724,25.12743,-1,仁二路 愛六路,610028C,仁二路,6,E,2023/7/28 10:10
T000045,KEE,6100170400010C,https://CCTV.KLCG.GOV.TW:443/a22c3d9d,1,121.74063,25.13803,-1,中山二路36巷,610017C,中山二路,6,S,2023/7/28 10:10
