VideoImageURL,經度,緯度,CCTVID,道路名稱,位置描述,geometry,index_right,COUNTYID,COUNTYCODE,COUNTYNAME,COUNTYENG
https://cctv-ss02.thb.gov.tw:443/T62-9K+020/snapshot,121.7321,25.10529,CCTV-14-0620-009-002,台62線,快速公路62號(暖暖交流道到大華系統交流道)(W),POINT (121.7321 25.10529),6.0,C,10017.0,基隆市,Keelung City
https://cctv-ss02.thb.gov.tw:443/T62-12K+460/snapshot,121.7624,25.10815,CCTV-14-0620-012-012,台62線,快速公路62號(瑞芳交流道到暖暖交流道)(W),POINT (121.7624 25.10815),8.0,F,65000.0,新北市,New Taipei City
https://cctv-ss02.thb.gov.tw:443/T62-12K+805/snapshot,121.7657,25.10918,CCTV-14-0620-012-007,台62線,快速公路62號(瑞芳交流道到暖暖交流道)(W),POINT (121.7657 25.10918),8.0,F,65000.0,新北市,New Taipei City
https://cctv-ss02.thb.gov.tw:443/T62-13K+155/snapshot,121.769,25.11009,CCTV-14-0620-013-004,台62線,快速公路62號(瑞芳交流道到暖暖交流道)(W),POINT (121.769 25.11009),8.0,F,65000.0,新北市,New Taipei City
https://cctv-ss02.thb.gov.tw:443/T62-14K+120/snapshot,121.7786,25.11076,CCTV-14-0620-014-016,台62線,快速公路62號(瑞芳交流道到暖暖交流道)(W),POINT (121.7786 25.11076),8.0,F,65000.0,新北市,New Taipei City
https://cctv-ss02.thb.gov.tw:443/T62-14K+755/snapshot,121.7849,25.11074,CCTV-14-0620-014-009,台62線,快速公路62號(瑞芳交流道到暖暖交流道)(W),POINT (121.7849 25.11074),8.0,F,65000.0,新北市,New Taipei City
https://cctv-ss02.thb.gov.tw:443/T62-17K+200/snapshot,121.807,25.11882,CCTV-14-0620-017-020,台62線,快速公路62號(瑞濱端到瑞芳交流道)(W),POINT (121.807 25.11882),8.0,F,65000.0,新北市,New Taipei City
https://cctv-ss02.thb.gov.tw:443/T62-17K+468/snapshot,121.8095,25.11922,CCTV-14-0620-017-015,台62線,快速公路62號(瑞濱端到瑞芳交流道),POINT (121.8095 25.11922),8.0,F,65000.0,新北市,New Taipei City
https://cctv-ss02.thb.gov.tw:443/T62-17K+643/snapshot,121.8114,25.11926,CCTV-14-0620-017-016,台62線,快速公路62號(瑞濱端到瑞芳交流道)(W),POINT (121.8114 25.11926),8.0,F,65000.0,新北市,New Taipei City
https://cctv-ss02.thb.gov.tw:443/T62-17K+818/snapshot,121.8131,25.11926,CCTV-14-0620-017-018,台62線,快速公路62號(瑞濱端到瑞芳交流道)(W),POINT (121.8131 25.11926),8.0,F,65000.0,新北市,New Taipei City
https://cctv-ss02.thb.gov.tw:443/T62-0K+325/snapshot,121.7028,25.13932,CCTV-14-0620-000-016,台62線,快速公路62號(安樂端到瑪東系統交流道)(W),POINT (121.7028 25.13932),6.0,C,10017.0,基隆市,Keelung City
https://cctv-ss02.thb.gov.tw:443/T62-0K+488/snapshot,121.702,25.13804,CCTV-14-0620-000-009,台62線,快速公路62號(安樂端到瑪東系統交流道)(E),POINT (121.702 25.13804),6.0,C,10017.0,基隆市,Keelung City
https://cctv-ss02.thb.gov.tw:443/T62-0K+838/snapshot,121.7001,25.13536,CCTV-14-0620-000-011,台62線,快速公路62號(安樂端到瑪東系統交流道)(E),POINT (121.7001 25.13536),6.0,C,10017.0,基隆市,Keelung City
https://cctv-ss02.thb.gov.tw:443/T62-1K+363/snapshot,121.6974,25.13132,CCTV-14-0620-001-012,台62線,快速公路62號(安樂端到瑪東系統交流道)(E),POINT (121.6974 25.13132),6.0,C,10017.0,基隆市,Keelung City
https://cctv-ss02.thb.gov.tw:443/T62-1K+538/snapshot,121.6968,25.12979,CCTV-14-0620-001-013,台62線,快速公路62號(安樂端到瑪東系統交流道)(E),POINT (121.6968 25.12979),6.0,C,10017.0,基隆市,Keelung City
https://cctv-ss02.thb.gov.tw:443/T62-1K+900/snapshot,121.6976,25.12665,CCTV-14-0620-001-019,台62線,台62線1K+900,POINT (121.6976 25.12665),6.0,C,10017.0,基隆市,Keelung City
https://cctv-ss02.thb.gov.tw:443/T62-3K+360/snapshot,121.6933,25.11514,CCTV-14-0620-003-003,台62線,快速公路62號(瑪東系統交流道到七堵交流道)(E),POINT (121.6933 25.11514),6.0,C,10017.0,基隆市,Keelung City
https://cctv-ss02.thb.gov.tw:443/T62-4K+860/snapshot,121.6939,25.10237,CCTV-14-0620-004-002,台62線,快速公路62號(七堵交流道到大華系統交流道)(E),POINT (121.6939 25.10237),6.0,C,10017.0,基隆市,Keelung City
https://cctv-ss02.thb.gov.tw:443/T62-5K+950/snapshot,121.7034,25.09804,CCTV-14-0620-005-002,台62線,快速公路62號(大華系統交流道到暖暖交流道)(E),POINT (121.7034 25.09804),6.0,C,10017.0,基隆市,Keelung City
https://cctv-ss02.thb.gov.tw:443/T62-12K+990/snapshot,121.7666,25.10919,CCTV-14-0620-012-011,台62線,快速公路62號(暖暖交流道到瑞芳交流道)(E),POINT (121.7666 25.10919),8.0,F,65000.0,新北市,New Taipei City
https://cctv-ss02.thb.gov.tw:443/T62-14K+495/snapshot,121.7823,25.11041,CCTV-14-0620-014-013,台62線,快速公路62號(暖暖交流道到瑞芳交流道)(E),POINT (121.7823 25.11041),8.0,F,65000.0,新北市,New Taipei City
https://cctv-ss02.thb.gov.tw:443/T62-15K+040/snapshot,121.7876,25.11116,CCTV-14-0620-015-002,台62線,快速公路62號(暖暖交流道到瑞芳交流道)(E),POINT (121.7876 25.11116),8.0,F,65000.0,新北市,New Taipei City
https://cctv-ss02.thb.gov.tw:443/T62-1K+088/snapshot,121.6992,25.13331,CCTV-14-0620-001-014,台62線,快速公路62號(瑪東系統交流道到安樂端)(W),POINT (121.6992 25.13331),6.0,C,10017.0,基隆市,Keelung City
