cctvid,roadsection,px,py,url,status,AgencyCodes,LocalCallService,Extension,CountyCode,AreaCode,PostalCode
66000C000001,"中清路/環中路(右側車流往文心路),Zhongqing Rd./Huanzhong Rd. (Right side Traffic flow to Wenxin Rd.)",120.6556,24.19963,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000001,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000002,"中清路/經貿七路(右側車流往大雅交流道),Zhongqing Rd./Jingmao 7th Rd. (Right side Traffic flow to Daya Interchange)",120.6598,24.19304,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000002,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000003,"中清路/黎明路(右側車流往環中路),Zhongqing Rd./Liming Rd. (Right side Traffic flow to Huanzhong Rd.)",120.6574,24.19665,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000003,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000004,"中清路/清武巷(右側車流往文心路),Zhongqing Rd./Qingwu Ln. (Right side Traffic flow to Wenxin Rd.)",120.6552,24.20048,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000004,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000005,"臺灣大道/黎明路(車流往台中交流道),Taiwan Blvd/Liming Rd. (Right side Traffic flow to Taichung Interchange)",120.6365,24.17127,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000005,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000006,"臺灣大道/朝富路(右側車流往台中交流道),Taiwan Blvd/Chaofu Rd. (Right side Traffic flow to Taichung Interchange)",120.6388,24.16926,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000006,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000007,"朝富路/臺灣大道(右側車流往市政路),Chaofu Rd./Taiwan Blvd (Right side Traffic flow to Shizheng Rd.)",120.6393,24.16921,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000007,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000008,"河南路/福星路(右側車流往臺灣大道),Henan Rd./Fuxing Rd. (Right side Traffic flow to Taiwan Blvd)",120.6478,24.1743,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000008,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000009,"黎明路/朝馬路(右側車流往臺灣大道),Liming Rd./Chaoma Rd. (Right side Traffic flow to Taiwan Blvd)",120.636,24.16921,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000009,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000010,"福科路/黎明路(右側車流往西屯路),Fuke Rd./Liming Rd. (Right side Traffic flow to Xitun Rd.)",120.6375,24.17896,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000010,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000011,"環中路東側/五權西路(車流往市政路),East side of Huanzhong Rd./Wuquan W. Rd. (traffic to Shizheng Rd.)",120.6238,24.14933,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000011,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000013,"五權西路/文心路(右側車流往南屯交流道),Wuquan W. Rd./Wenxin Rd. (Right side Traffic flow to Nantun Interchange)",120.6466,24.14004,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000013,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000014,"朝富路、朝馬路(右側車流往臺灣大道),Chaofu Rd./Chaoma Rd. (Right side Traffic flow to Taiwan Blvd)",120.6383,24.16759,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000014,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000015,"大雅交流道/環中路(右側車流往大雅交流道),Daya IC/Huanzhong Rd. (Right side Traffic flow to Daya Interchange)",120.6565,24.19983,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000015,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000017,"臺灣大道/大墩路(右側車流往台中交流道),Taiwan Blvd/Dadun Rd. (Right side Traffic flow to Taichung Interchange)",120.6532,24.16068,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000017,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000018,"臺灣大道/英才路(右側車流往台中交流道),Taiwan Blvd/Yingcai Rd. (Right side Traffic flow to Taichung Interchange)",120.667,24.15303,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000018,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000019,"安和路/朝馬路(右側車流往臺灣大道),Anhe Rd./Chaoma Rd. (Right side Traffic flow to Taiwan Blvd)",120.6222,24.174,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000019,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000020,"五權西路/環中路(右側車流往工業區),Wuquan W. Rd/Huanzhong Rd (Right side Traffic flow to industrial area)",120.623,24.14999,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000020,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000021,"臺灣大道/環中路(右側車流往文心路),Taiwan Blvd/Huanzhong Rd (Right side Traffic flow to Wenxin Rd)",120.6338,24.17308,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000021,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000022,"市政路/環中路(右側車流往文心路),Shizheng Rd/Huanzhong Rd (Right side Traffic flow to Wenxin Rd)",120.6291,24.16281,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000022,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000023,河南路二段與西屯路二段(右側車流往台灣大道) Henan Rd/Xitun Rd  (Right side Traffic flow to Taiwan Blvd),120.6456,24.17249,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000023,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000024,"臺灣大道/工業區一路(右側車流往文心路),Taiwan Blvd/Gongyequ 1st Rd. (Right side Traffic flow to Wenxin Rd.)",120.6153,24.18337,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000024,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000025,"臺灣大道/忠明路(右側車流往台中車站),Taiwan Blvd/Zhongming Rd (Right side Traffic flow to Taichung Interchange)",120.6595,24.15711,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000025,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000026,"臺灣大道/民權路(右側車流往台中車站),Taiwan Blvd/Minquan Rd (Right side Traffic flow to Taichung Station)",120.6699,24.15108,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000026,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000027,"五權西路/五權路(右側車流往南屯交流道) ),Wuquan W. Rd/Wuquan Rd(Right side Traffic flow to Nantun Interchange)",120.6657,24.14016,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000027,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000028,"中清路/五權路(右側車流往文心路),Zhongqing Rd./Wuquan Rd.  (Right side Traffic flow to Wenxin Rd.)",120.6772,24.15125,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000028,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000029,"民權路/建國路(右側車流往向上路),Minquan Rd./Jianguo Rd.(Right side Traffic flow to Xiangshang Rd)",120.6823,24.13576,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000029,0,387000000A,(04)22289111,60221,66000,66000060,407
66000C000328,土牛派出所前Tuniu Police Station,120.8164,24.26023,https://motoretag.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000328,0,387000000A,(04)22289111,60221,66000,66000060,407
