stt_name,stt_no,county_name,town_name,county_code,urban_plan,lon,lat,manager,addr,stt_purpose
CCTV-15-0070-006-01,68000-000370,桃園市,大溪區,68000030,區外,121.2909,24.84066,交通部公路總局,大溪區復興路草嶺(S),影像監視
CCTV-15-0070-046-01,68000-000369,桃園市,復興區,68000130,H0308,121.383,24.6784,交通部公路總局,復興區北橫公路巴陵(S),影像監視
CCTV-15-0070-046-02,68000-000368,桃園市,復興區,68000130,H0308,121.3794,24.68059,交通部公路總局,桃園市復興區華陵里台7線巴陵大橋(南端)46K+100,影像監視
CCTV-15-0070-045-02,68000-000367,桃園市,復興區,68000130,區外,121.3797,24.68269,交通部公路總局,台7線45K+900,影像監視
CCTV-15-0070-044-01,68000-000366,桃園市,復興區,68000130,區外,121.3764,24.69083,交通部公路總局,復興區北橫公路蘇樂南(N),影像監視
CCTV-15-0070-033-01,68000-000365,桃園市,復興區,68000130,區外,121.3501,24.73811,交通部公路總局,復興區北橫公路榮華壩(S),影像監視
CCTV-15-0070-032-02,68000-000364,桃園市,復興區,68000130,區外,121.3424,24.74134,交通部公路總局,台7線32K+650(S),影像監視
CCTV-15-0070-032-01,68000-000363,桃園市,復興區,68000130,區外,121.3421,24.74192,交通部公路總局,復興區北橫公路榮華橋(S),影像監視
CCTV-15-0070-022-01,68000-000362,桃園市,復興區,68000130,區外,121.348,24.75489,交通部公路總局,公路總局復興工務段(N),影像監視
CCTV-15-0070-001-02,68000-000361,桃園市,大溪區,68000030,H0109,121.2947,24.8769,交通部公路總局,大溪區復興路三層崎(N),影像監視
CCTV-15-0070-001-01,68000-000360,桃園市,大溪區,68000030,H0109,121.2941,24.87734,交通部公路總局,大溪區復興路三層崎(S),影像監視
CCTV-15-0070-015-01,68000-000359,桃園市,復興區,68000130,區外,121.3446,24.81975,交通部公路總局,三民村北橫公路(N),影像監視
CCTV-15-0070-000-01,68000-000358,桃園市,大溪區,68000030,H0109,121.2893,24.88416,交通部公路總局,大溪區康莊路大溪老街(N),影像監視
CCTV-15-007B-013-01,68000-000356,桃園市,大溪區,68000030,區外,121.3303,24.83437,交通部公路總局,三民村台7乙線13K+900(N),影像監視
CCTV-15-007B-012-01,68000-000355,桃園市,大溪區,68000030,區外,121.3345,24.84784,交通部公路總局,台7乙線12K+100,影像監視
CCTV-13-0610-055-01,68000-000211,桃園市,新屋區,68000110,區外,121.0179,24.97487,交通部公路總局,台61線49K+750,影像監視
CCTV-13-0610-054-03,68000-000210,桃園市,新屋區,68000110,區外,121.0197,24.98357,交通部公路總局,台61線48K+850,影像監視
CCTV-13-0610-054-01,68000-000209,桃園市,新屋區,68000110,區外,121.0204,24.98784,交通部公路總局,台61線48K+350(平面),影像監視
CCTV-13-0610-053-01,68000-000208,桃園市,新屋區,68000110,區外,121.0209,24.98849,交通部公路總局,桃園市新屋區永安交流道前100公尺(S),影像監視
CCTV-13-0610-052-01,68000-000207,桃園市,新屋區,68000110,區外,121.0267,25.00111,交通部公路總局,台61線47K+000,影像監視
CCTV-13-0610-050-01,68000-000206,桃園市,新屋區,68000110,區外,121.0365,25.0136,交通部公路總局,台61線45K+200,影像監視
CCTV-13-0610-048-01,68000-000205,桃園市,觀音區,68000120,區外,121.0519,25.0284,交通部公路總局,台61線43K+500(平面),影像監視
CCTV-13-0610-038-01,68000-000204,桃園市,觀音區,68000120,區外,121.1319,25.06984,交通部公路總局,38.9K草漯(N),影像監視
CCTV-13-0610-036-01,68000-000203,桃園市,大園區,68000060,區外,121.1586,25.07605,交通部公路總局,36.1K大園北出口標示架(C),影像監視
CCTV-13-0610-033-02,68000-000202,桃園市,大園區,68000060,區外,121.1815,25.08389,交通部公路總局,台61線28K+000-2,影像監視
CCTV-13-0610-033-01,68000-000201,桃園市,大園區,68000060,區外,121.1815,25.08389,交通部公路總局,33.6K大園(N),影像監視
CCTV-13-0610-029-01,68000-000200,桃園市,大園區,68000060,區外,121.2125,25.10322,交通部公路總局,台61線24K+185,影像監視
CCTV-13-0610-028-01,68000-000199,桃園市,大園區,68000060,區外,121.2271,25.1083,交通部公路總局,台61線22K+600,影像監視
CCTV-13-0610-025-01,68000-000198,桃園市,蘆竹區,68000050,區外,121.2511,25.11632,交通部公路總局,25.6K標示架(C),影像監視
CCTV-13-0040-004-01,68000-000192,桃園市,大園區,68000060,區外,121.2608,25.07017,交通部公路總局,大園區三民路二段下水尾(E),影像監視
CCTV-15-0040-037-01,68000-000191,桃園市,大溪區,68000030,H0215,121.2596,24.82284,交通部公路總局,大溪區康莊路五段溪洲(E),影像監視
CCTV-15-0040-035-01,68000-000190,桃園市,大溪區,68000030,區外,121.2724,24.84322,交通部公路總局,大溪區康莊路三段崁頂(E),影像監視
CCTV-15-0040-030-01,68000-000189,桃園市,大溪區,68000030,區外,121.2817,24.8701,交通部公路總局,大溪區瑞安路崁津大橋南(E),影像監視
CCTV-15-0040-030-03,68000-000188,桃園市,大溪區,68000030,區外,121.2804,24.8737,交通部公路總局,桃園市大溪區康安里台4線崁津大橋(南端)30K+600,影像監視
